,gameId,top,jungle,mid,carry,support,count_top,count_jungle,count_mid,count_carry,count_support,champ_WR_dif,B_tier,R_tier
1307,4714169029,5,3,4,5,4,3,3,1,5,6,0.0039599999999999965,1.2,2.6
706,4714195992,3,4,,5,3,3,3,2,5,6,-0.11688000000000001,1.0,3.0
510,4714326167,3,5,6,1,2,5,1,3,5,2,0.008599999999999974,1.4,2.8
140,4714326516,6,3,4,5,6,2,1,1,3,3,0.007599999999999996,2.4,2.4
1469,4714345337,3,4,3,5,6,2,1,5,5,6,-0.018640000000000035,3.0,2.8
879,4714366991,3,5,4,5,4,3,3,4,5,2,0.0044599999999999865,2.4,2.2
1927,4714376181,3,3,4,3,2,1,5,1,4,3,0.010279999999999989,2.6,1.8
2049,4714418778,3,5,4,5,3,3,4,2,5,2,-0.017420000000000026,1.8,2.0
293,4714476437,5,5,4,5,6,3,4,4,5,6,-0.010440000000000015,2.0,1.8
677,4714493526,3,1,4,5,4,3,4,1,5,6,-0.010320000000000041,2.0,3.0
1159,4714519734,3,3,4,5,2,6,5,1,5,4,-0.016179999999999993,2.4,2.2
989,4714535847,2,3,4,5,6,1,3,3,5,2,0.006099999999999961,2.6,2.0
1703,4714578980,3,3,1,5,6,3,3,4,5,4,-0.008160000000000011,3.0,2.8
971,4714639850,2,5,1,5,2,3,1,1,5,6,0.02809999999999998,1.8,3.8
1468,4714695523,3,3,2,5,6,3,1,1,5,6,-0.0034999999999999697,2.4,2.4
988,4714750729,3,3,3,5,6,5,1,3,5,2,0.012039999999999995,2.6,2.8
1534,4714952092,3,3,3,5,2,3,3,4,5,6,-0.002960000000000007,2.8,2.4
139,4715087865,3,5,4,5,6,2,1,1,5,2,-0.018220000000000014,1.8,1.6
698,4715130636,3,1,2,5,6,3,5,4,5,6,-0.0023599999999999953,2.8,2.0
985,4715312456,5,2,4,5,2,3,3,6,5,6,0.008999999999999998,2.2,2.0
1594,4715316227,3,1,5,5,6,3,3,1,5,6,-0.008860000000000024,3.0,2.2
779,4715397461,3,5,4,5,6,3,5,2,5,6,-0.007000000000000029,2.4,2.2
2139,4715508129,3,3,4,5,6,3,1,3,5,6,-0.01432,2.2,2.4
1375,4715570368,3,1,5,5,2,5,1,3,5,3,0.007780000000000009,1.8,2.4
1327,4715574161,2,5,4,5,2,3,1,1,5,2,-0.01434000000000002,2.4,1.6
1533,4715586171,3,1,4,5,6,3,1,5,3,6,0.005220000000000014,3.2,3.2
1093,4715590614,3,3,4,5,6,3,1,5,5,6,-0.0029999999999999914,1.8,2.0
334,4715597197,2,1,5,5,2,3,4,1,5,5,0.016199999999999992,2.4,3.0
1573,4715613366,3,3,3,5,6,3,3,4,5,3,-0.019400000000000008,2.8,2.6
1946,4715638248,5,5,1,5,3,6,3,1,5,6,0.008359999999999989,1.8,2.6
1532,4715656461,1,3,1,5,3,1,5,2,3,6,-0.0116,2.0,2.8
333,4715657544,3,3,3,5,3,6,5,2,5,6,-0.0069799999999999975,1.8,1.2
336,4716179880,3,1,4,5,4,3,3,4,5,6,0.007979999999999987,2.6,2.4
1218,4716319781,3,5,5,5,6,3,3,4,5,6,-0.004720000000000013,2.8,3.6
1831,4716501249,2,3,4,5,4,3,1,3,5,2,0.0044599999999999865,2.6,3.0
1436,4716526088,4,4,3,4,3,3,1,3,5,6,-0.004700000000000026,2.6,1.4
868,4716527572,1,5,4,5,2,3,1,1,5,4,0.01097999999999998,2.2,2.8
1326,4716611777,3,5,1,5,6,3,1,4,5,6,0.029479999999999996,2.2,2.4
22,4716646082,3,3,1,5,6,3,3,4,5,6,0.015520000000000023,3.2,2.8
313,4716773990,2,3,4,5,6,3,3,4,5,6,0.015980000000000005,1.4,3.4
1531,4716845886,1,5,1,5,2,4,3,4,5,6,0.02677999999999998,1.8,2.6
327,4716852533,6,5,5,5,6,3,4,1,5,6,0.01502,2.2,2.4
326,4716859148,3,3,2,4,5,3,3,4,5,2,-0.025039999999999996,2.8,1.8
788,4716912201,5,4,4,5,4,3,1,5,5,6,0.017620000000000014,2.6,3.8
1374,4716937865,3,5,1,5,4,3,3,2,5,6,-0.009819999999999995,2.8,2.4
2034,4716944680,3,3,3,5,2,3,5,3,5,6,0.02862,1.6,2.6
2011,4717027097,2,2,1,5,6,3,4,3,5,4,0.027639999999999987,1.8,3.0
1260,4717028124,3,3,4,4,6,3,3,4,5,5,0.032119999999999996,2.2,2.2
841,4717036248,3,1,4,5,6,2,3,5,5,5,0.0012600000000000055,2.0,3.0
987,4717052968,3,4,3,5,2,4,1,3,5,2,0.01167999999999999,2.4,2.6
1373,4717062152,3,3,4,5,6,4,3,1,5,3,-0.012340000000000007,2.4,2.8
1817,4717070126,6,1,3,5,2,3,1,1,5,2,-0.00456000000000002,2.0,3.2
986,4717092106,1,3,1,5,2,4,5,3,5,3,0.007379999999999975,1.0,2.2
2110,4717147765,3,1,3,5,4,2,3,1,5,6,0.0043199999999999576,2.8,2.6
1158,4717285502,1,3,1,3,5,3,4,1,5,6,-0.01634000000000001,1.8,2.6
1200,4717567932,1,5,3,5,2,3,1,6,5,2,-0.008560000000000022,2.0,2.6
840,4717657289,3,5,4,5,6,2,3,4,5,2,-0.012319999999999998,2.8,1.4
838,4717687099,3,2,4,5,6,2,2,5,5,2,-0.016760000000000018,3.0,1.0
839,4717703089,2,4,4,5,6,2,3,5,5,6,0.017860000000000008,2.6,1.2
1321,4717717877,2,5,5,5,2,2,1,1,5,2,0.015559999999999996,1.0,2.4
1605,4717722614,3,4,6,5,4,4,3,1,5,6,-0.026359999999999995,2.6,3.4
617,4717728528,2,3,4,5,2,1,3,4,5,6,0.03523999999999998,2.2,2.4
939,4717762429,1,3,4,5,6,2,1,1,5,6,-0.01210000000000001,1.4,2.6
1317,4717775034,3,3,1,5,6,3,5,4,5,2,0.03145999999999995,2.0,2.4
1514,4717777861,2,2,3,5,6,3,3,1,5,6,0.022399999999999975,1.8,2.0
2117,4717811166,3,3,1,5,6,2,5,3,5,6,-0.03332,2.6,2.0
428,4717915787,2,1,1,5,6,2,5,3,5,6,-0.009820000000000006,2.6,2.2
1351,4717925092,3,3,1,5,3,3,2,4,5,6,0.010619999999999963,2.8,2.2
1816,4717937370,3,3,1,5,6,3,1,4,5,2,0.015260000000000006,1.4,2.8
1513,4717940677,3,3,4,5,6,5,2,1,5,6,0.013900000000000034,1.4,2.6
365,4718043658,2,1,1,5,2,1,3,3,5,6,0.006879999999999997,2.2,1.8
2122,4718050171,3,3,1,5,6,3,1,4,5,6,0.0041799999999999945,2.2,2.4
551,4718056597,5,3,6,5,2,2,4,3,5,6,-0.0008800000000000141,3.2,2.8
456,4718117382,3,3,5,5,4,3,3,1,5,6,-0.0008400000000000185,2.0,3.2
53,4718162979,3,3,4,5,6,2,5,1,5,4,-0.005780000000000019,3.6,2.2
1397,4718197393,5,2,4,5,6,4,3,4,5,6,-0.010900000000000031,2.2,2.8
858,4718234798,3,4,4,5,5,3,4,4,5,6,0.020259999999999966,2.2,3.0
1157,4718323963,4,3,3,5,2,3,3,4,5,6,0.026560000000000028,1.8,3.2
332,4718336588,3,5,1,4,6,3,5,4,5,5,0.02009999999999996,3.4,2.8
1096,4718351963,3,4,1,5,2,3,3,2,5,6,0.0036199999999999787,2.4,2.4
857,4718353790,5,3,4,5,6,3,5,4,5,6,-0.016680000000000007,2.0,2.8
1593,4718388818,3,4,4,5,6,3,3,2,5,6,-0.00042000000000000923,2.8,3.4
537,4718394067,3,3,2,5,2,3,1,1,5,4,-0.007680000000000043,2.4,2.2
312,4718420511,2,4,5,5,6,3,3,4,5,6,-0.0034600000000000186,2.2,2.8
322,4718425084,3,3,4,5,2,3,5,1,5,2,-0.006140000000000012,2.0,2.0
856,4718425942,6,4,5,5,2,3,4,3,5,6,-0.012080000000000013,2.2,3.8
224,4718514951,3,5,1,4,3,3,3,3,5,,0.11052,0.8,1.6
1018,4718517020,2,4,1,5,2,5,5,1,5,6,0.026659999999999996,2.4,2.2
1777,4718518872,4,3,1,5,6,3,3,4,5,6,-0.028059999999999974,3.2,2.2
1147,4718524250,3,4,4,5,3,3,3,4,5,6,0.009959999999999991,2.4,2.0
855,4718542027,2,1,1,5,6,3,3,1,5,6,0.0010399999999999854,2.6,1.8
190,4718544187,3,3,6,5,2,2,1,1,5,2,0.023240000000000004,2.2,3.0
230,4718643233,3,3,4,5,6,3,1,3,5,4,-0.007599999999999984,3.2,2.4
1263,4718683359,6,5,2,5,6,4,3,6,5,6,0.0015799999999999814,2.0,3.0
1793,4718743718,1,3,4,5,6,3,6,1,5,2,0.006659999999999999,2.2,3.0
692,4719276985,5,2,1,5,3,3,3,4,5,6,0.011220000000000008,2.4,2.8
895,4719443969,3,2,5,5,6,5,2,4,5,2,-0.006020000000000003,2.6,1.0
803,4719457671,4,3,1,5,3,3,3,4,5,6,-0.015339999999999987,2.6,2.4
774,4719458441,4,3,3,5,2,6,3,3,3,2,0.023540000000000016,1.0,1.8
292,4719474624,3,1,4,5,2,3,2,4,5,6,-0.01346000000000005,3.2,1.6
451,4719530023,3,3,4,5,4,3,5,4,5,4,0.00021999999999997578,2.6,2.6
102,4719530117,2,1,4,5,6,3,1,4,5,2,0.010839999999999994,3.2,2.8
1792,4719684331,3,1,4,5,6,2,4,1,5,6,0.0018000000000000127,2.4,3.2
1891,4719699807,2,3,4,5,6,4,3,1,5,2,0.002419999999999989,2.4,2.4
2048,4719729091,3,1,1,5,2,3,4,3,5,3,0.012059999999999993,2.0,2.2
189,4719757385,4,4,1,5,6,2,5,4,5,4,0.002159999999999973,2.6,3.0
717,4719761345,2,3,3,5,4,6,2,2,5,6,0.0006400000000000072,2.6,1.8
1262,4719767875,3,1,4,5,2,2,3,4,5,3,0.011319999999999986,2.4,2.8
1652,4719805726,3,5,1,5,2,6,4,4,5,2,0.024360000000000003,1.4,2.0
1350,4719806268,3,1,1,5,2,3,4,6,5,3,0.012260000000000004,1.6,2.4
331,4719808955,2,5,2,5,3,4,1,3,5,6,0.029700000000000015,1.8,2.6
693,4719863772,3,3,4,5,6,3,1,1,5,4,0.02258,3.0,3.2
1349,4719880161,3,3,4,5,2,3,4,6,5,6,-6.00000000000267e-05,2.2,2.0
1235,4719917798,3,3,3,6,5,1,5,4,5,3,0.010099999999999987,1.2,2.6
410,4719936202,2,5,6,5,3,4,1,1,5,6,0.005919999999999981,2.0,3.2
223,4719956883,4,5,4,5,3,3,4,3,5,2,-0.014760000000000028,2.6,3.2
1168,4719959847,3,1,3,5,,5,3,3,3,,-0.004740000000000011,1.6,2.4
473,4719975150,3,4,1,5,6,2,3,3,5,6,-0.0019600000000000286,3.6,3.6
2146,4720003245,3,4,4,5,2,3,1,4,5,6,0.016100000000000024,2.8,2.8
2092,4720164250,3,3,4,4,2,2,5,1,5,6,0.0013000000000000012,3.0,2.2
1256,4720186916,3,1,3,5,4,3,2,2,5,6,-0.02108000000000001,3.4,2.4
364,4720244875,3,4,3,5,6,2,2,1,5,6,0.016479999999999995,2.2,3.2
1391,4720553020,3,1,3,5,4,1,3,4,5,2,0.010839999999999983,3.0,2.0
1139,4720564630,4,5,5,5,2,3,1,4,5,6,-0.010679999999999978,1.8,2.6
1389,4720579812,3,2,3,5,2,3,1,1,5,2,-0.0005799999999999917,2.4,2.0
1390,4720585602,3,3,1,5,2,3,3,1,5,3,0.027980000000000005,2.2,2.2
158,4720630074,3,1,4,5,4,4,5,1,5,6,-0.018799999999999994,2.8,2.8
1579,4720695448,2,5,4,5,5,6,4,3,5,6,-0.02038,1.8,2.4
1138,4720732914,3,1,5,5,2,2,1,4,5,6,-0.024920000000000008,2.8,2.8
1388,4720734770,2,3,4,5,6,3,3,3,5,3,-0.0033600000000000075,2.0,2.0
1146,4720773792,6,4,3,5,2,3,4,1,5,4,0.03367999999999997,1.6,2.4
195,4720793889,3,5,4,5,6,2,1,4,5,6,-0.02288000000000001,2.0,1.6
363,4720794472,2,1,1,5,2,2,3,4,5,6,0.02338,2.4,3.2
755,4720798502,4,3,4,5,6,3,1,2,3,6,0.00606000000000001,2.6,2.0
1437,4720803474,3,3,4,5,3,3,3,1,5,6,-0.00940000000000002,3.4,2.6
773,4720833261,2,5,4,5,2,2,3,1,5,6,-0.008820000000000017,2.8,1.8
1137,4720848435,2,5,4,5,6,2,1,4,5,6,-0.009460000000000001,2.4,2.6
754,4720874241,5,3,5,5,6,2,3,1,5,6,0.004159999999999997,2.4,3.0
753,4720878222,3,5,4,5,6,3,3,4,4,2,-0.011540000000000028,2.4,0.2
1578,4720893318,3,4,1,5,6,2,3,4,5,6,-0.00122000000000001,3.2,2.4
2145,4720906796,2,5,1,5,4,3,3,4,5,2,-0.01402000000000001,2.8,2.6
1259,4720970118,4,5,4,5,4,2,1,1,5,6,-0.01035999999999997,2.0,2.8
894,4720994056,3,4,3,5,6,3,5,4,5,2,0.00571999999999997,3.6,1.8
183,4721039295,2,3,5,5,4,3,3,1,5,5,-0.0038999999999999924,1.0,2.0
752,4721049116,3,4,5,5,4,3,3,1,5,6,-0.002719999999999989,2.8,2.6
1663,4721083174,3,1,1,4,6,2,5,4,5,2,-0.01454000000000003,2.2,1.6
182,4721165044,3,1,4,5,4,3,3,1,5,6,0.017920000000000026,3.2,3.2
829,4721209761,3,4,3,5,2,4,3,3,5,4,0.013480000000000025,1.0,3.2
837,4721216343,3,1,4,5,2,4,5,4,5,4,-0.0029999999999999914,2.0,1.8
398,4721243248,3,3,4,5,4,2,3,1,5,6,-0.01239999999999999,2.8,2.0
802,4721245618,3,3,3,5,6,3,3,4,5,4,0.02287999999999999,2.0,2.4
751,4721305615,3,5,4,5,6,3,3,4,5,6,0.011919999999999986,2.6,4.0
261,4721409383,3,1,1,5,2,2,1,2,4,6,-0.018779999999999974,1.8,2.0
750,4721449611,3,4,4,5,5,2,3,4,5,6,-0.017280000000000007,3.2,2.4
836,4721516872,2,3,4,5,6,3,5,4,5,6,0.02247999999999999,2.0,1.2
1994,4721523539,3,4,4,5,6,3,1,4,5,6,0.022819999999999986,2.6,3.4
806,4721546090,3,1,3,5,6,3,1,1,5,6,-0.0044800000000000065,1.8,3.6
749,4721577831,2,3,4,5,6,2,4,1,5,3,0.01449999999999999,3.0,3.0
616,4721580587,5,1,3,5,6,2,1,1,5,2,-0.009760000000000013,3.4,2.2
1993,4721594371,2,2,3,5,2,2,1,1,5,2,0.03544000000000001,1.4,2.6
2154,4721627795,2,3,3,5,4,3,3,3,5,3,0.0029200000000000116,2.2,2.8
138,4721684343,3,3,2,5,2,3,3,1,5,6,0.004779999999999995,2.2,1.8
878,4721707986,1,1,4,5,4,2,3,4,5,6,-0.0020400000000000197,3.4,2.6
615,4721752285,2,1,1,5,2,3,2,5,5,4,0.003499999999999992,2.0,2.0
747,4721909113,2,1,3,5,5,3,3,4,5,4,-0.003539999999999999,1.8,2.6
828,4721926271,4,5,1,1,6,3,3,3,5,6,0.00883999999999997,1.2,2.8
748,4721935256,6,3,4,5,2,3,3,1,5,6,0.014980000000000016,1.8,3.2
745,4722129276,4,2,1,5,6,3,4,3,5,6,-0.006580000000000019,3.8,3.0
869,4722152628,3,1,1,1,6,2,1,1,5,2,-0.006420000000000004,1.8,3.2
377,4722159623,3,5,4,5,,4,3,4,5,3,-0.09665999999999997,1.8,1.2
746,4722174153,2,4,3,5,4,3,3,3,3,6,-0.022599999999999974,3.2,2.6
1464,4722178981,2,2,1,5,4,3,4,5,5,6,0.027000000000000003,1.6,3.2
744,4722282421,3,1,4,5,6,4,3,4,5,6,-0.008079999999999986,2.6,3.8
376,4722310968,3,3,2,5,2,5,3,4,5,6,0.0045399999999999885,1.8,1.6
1662,4722377515,3,3,4,5,3,3,1,1,5,,0.09672,2.0,2.0
1156,4722388436,3,3,1,5,4,3,5,1,5,6,-0.024880000000000013,3.0,2.0
2129,4722462177,3,1,4,4,3,6,5,2,5,5,0.01866000000000001,2.4,1.8
801,4722503101,3,2,4,5,6,3,3,4,5,2,-0.02472,3.6,2.4
180,4722506672,4,4,4,5,6,4,5,6,5,4,0.007119999999999993,2.8,1.8
181,4722522922,4,3,2,5,4,3,5,4,5,4,0.020179999999999965,2.2,1.8
1661,4722566901,2,5,4,5,6,3,3,4,5,6,0.018819999999999993,1.8,2.2
1512,4722619673,3,5,2,5,6,3,2,1,5,3,0.0037799999999999835,1.6,2.6
153,4722635230,2,1,1,5,2,2,3,4,5,6,-0.009199999999999996,2.0,2.2
1525,4722721399,2,4,4,5,6,4,3,1,5,3,0.038419999999999975,4.0,2.8
450,4722735403,5,5,1,5,4,2,3,1,5,6,0.0010399999999999854,1.6,3.6
1926,4722760461,4,3,6,5,6,3,3,4,4,2,-0.03153999999999999,2.6,1.4
449,4722762981,4,1,4,5,4,1,3,5,3,1,0.011060000000000004,2.0,2.4
1043,4722769281,1,3,1,5,3,3,5,4,5,6,-0.013039999999999996,2.4,1.8
2144,4722770299,3,4,6,5,6,4,2,4,5,5,0.010799999999999987,1.4,2.2
425,4722807136,1,3,4,5,3,2,3,4,5,6,-0.003999999999999992,2.4,3.0
1572,4722824604,6,3,1,5,4,5,1,2,5,6,-0.016679999999999962,2.4,2.4
1925,4722887141,2,5,2,5,6,3,4,3,5,2,0.021079999999999988,2.6,3.2
676,4722905991,6,3,1,5,4,2,5,4,5,3,-0.01866,2.6,2.4
557,4723032281,3,4,3,5,2,2,5,4,5,2,-0.022300000000000007,2.4,1.8
1702,4723033012,3,2,5,3,6,3,3,4,3,6,0.01708000000000003,2.4,2.6
255,4723167455,5,3,4,5,2,3,1,4,5,6,-0.005459999999999998,2.6,2.0
2029,4723212571,3,4,1,5,6,3,1,3,5,6,0.0006400000000000072,3.0,3.2
2031,4723218213,4,3,1,5,1,3,4,2,5,6,-0.0024600000000000177,1.8,2.4
1419,4723257527,4,3,3,5,2,3,2,1,5,6,0.0035600000000000297,2.6,2.4
462,4723275721,3,4,1,5,3,5,3,1,5,3,-0.000759999999999994,2.4,1.4
1348,4723447095,3,3,6,5,6,3,4,6,5,6,0.0007000000000000229,2.2,2.4
1418,4723483959,3,4,1,5,2,3,5,2,5,6,0.006000000000000005,2.6,1.6
850,4723517362,3,1,1,5,6,3,2,1,5,4,-0.011420000000000008,2.0,2.0
1223,4723767588,4,2,1,5,2,3,5,4,5,2,0.011139999999999983,2.0,2.0
892,4723877331,3,5,4,5,6,3,2,1,5,2,0.010779999999999979,2.8,2.6
461,4723880417,3,3,1,5,5,3,3,1,5,6,-0.016159999999999997,2.0,1.4
893,4723910517,4,3,3,5,2,3,2,1,5,2,-0.010079999999999988,2.8,1.8
321,4723957337,4,3,5,5,2,3,5,4,5,6,-0.007119999999999993,2.0,2.4
1347,4723968329,3,5,1,5,2,3,2,6,5,6,0.00371999999999999,1.8,2.0
460,4724029759,2,3,1,5,6,4,2,5,5,6,0.005099999999999993,3.2,1.4
955,4724065438,5,1,5,5,5,,3,3,5,6,0.08617999999999999,2.6,1.8
179,4724140818,3,3,4,5,2,1,5,3,5,6,-0.010320000000000018,2.8,2.2
1883,4724266170,3,3,1,5,6,4,1,1,5,6,0.003159999999999985,3.2,2.6
805,4724279934,4,5,1,5,6,3,3,4,5,3,-0.013900000000000001,2.4,1.8
1012,4724294064,4,3,4,5,2,3,2,1,5,6,-0.00816,2.4,3.4
1305,4724317135,3,3,4,5,3,1,5,1,5,6,-0.014920000000000011,3.4,2.2
1491,4724368561,2,4,4,5,4,4,2,2,5,6,-0.011580000000000002,2.0,3.2
1346,4724397432,2,5,6,5,2,3,3,4,5,6,0.012639999999999995,1.6,1.8
1530,4724398114,5,5,1,5,6,4,4,4,5,4,0.002859999999999996,2.2,2.0
1492,4724412578,2,3,4,5,2,3,1,5,5,2,-0.010300000000000031,2.6,2.4
355,4724611108,3,5,4,5,5,3,1,1,5,2,-0.03026,2.2,1.6
1716,4724618791,3,3,4,5,6,3,4,4,5,3,-0.0006000000000000339,4.0,2.2
222,4724645274,3,6,1,5,2,3,1,4,5,5,0.028359999999999986,2.6,3.2
1426,4724728548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1715,4724753728,3,3,4,5,6,6,5,4,5,6,-0.0027999999999999913,3.4,1.6
1425,4724805803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
273,4724842127,3,3,4,5,6,5,3,4,5,4,-0.013340000000000019,3.0,2.2
800,4724864714,3,2,4,5,2,1,3,4,5,2,0.004639999999999966,2.4,2.4
1424,4724919367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1422,4724986373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
1714,4724992368,6,3,1,5,2,5,4,1,5,6,0.011719999999999986,1.6,2.6
1136,4725027354,3,3,4,5,6,4,1,4,5,4,-0.012060000000000015,1.6,1.6
1143,4725173432,4,5,1,5,2,3,1,3,5,2,0.0034399999999999873,1.6,3.4
602,4725175116,2,3,1,5,3,2,5,1,5,3,0.010859999999999991,2.2,2.4
1713,4725188518,3,4,4,5,6,3,5,2,5,2,-0.0007399999999999962,2.8,2.0
1291,4725198328,3,2,1,5,2,3,3,3,5,6,0.009380000000000032,2.8,3.2
1618,4725209532,2,3,4,5,3,3,5,4,5,2,0.013139999999999975,2.0,2.0
760,4725210882,3,1,3,5,3,3,3,1,5,4,0.020479999999999988,2.2,2.2
186,4725414592,3,3,3,5,4,2,1,1,5,6,0.0017399999999999972,1.6,2.6
1290,4725417300,3,4,4,5,6,2,5,1,5,3,0.015679999999999993,3.2,2.6
865,4725449637,3,4,1,4,5,2,1,3,5,6,-0.008940000000000003,2.2,2.0
1683,4725490810,3,4,1,5,6,3,1,3,5,6,0.004999999999999982,2.4,4.2
954,4725510959,3,1,5,5,3,3,1,1,5,6,0.007540000000000002,2.2,3.6
1763,4725517734,3,4,3,5,4,3,5,4,5,4,0.0023600000000000066,3.0,2.4
673,4725613620,2,3,2,5,6,3,5,4,5,6,0.025719999999999986,2.2,2.2
675,4725640849,3,1,1,5,3,2,2,1,5,6,-0.005720000000000025,2.2,3.4
1315,4725664074,3,3,3,5,6,2,1,1,5,6,-0.03847999999999999,3.6,1.0
1860,4725666717,3,5,1,5,4,3,3,3,5,4,0.0025599999999999954,1.6,3.6
1712,4725672105,2,4,3,5,3,3,4,3,5,6,0.023219999999999973,3.0,3.4
1417,4725679576,3,5,4,5,6,6,3,6,5,3,0.010640000000000016,2.6,2.4
448,4725716143,6,3,1,5,6,3,4,1,5,2,0.000539999999999996,1.4,2.6
891,4725751378,3,5,4,3,2,3,2,3,5,4,0.017780000000000008,2.0,3.2
972,4725797897,3,4,6,5,,1,1,1,3,,0.003620000000000012,2.6,2.0
674,4725806660,3,3,1,5,6,1,1,3,5,6,0.009919999999999984,3.0,3.0
21,4725897454,6,5,1,5,6,3,4,4,5,6,0.00686,2.0,3.0
1416,4725927436,1,4,1,5,6,3,1,4,5,2,-0.015780000000000016,2.6,2.2
1711,4726020870,2,3,3,5,2,3,5,4,5,6,0.005099999999999982,2.2,2.8
1660,4726058629,1,3,3,5,6,5,2,1,5,6,-0.002240000000000031,3.2,1.8
809,4726130129,3,3,3,5,5,3,1,4,5,2,-0.029159999999999985,1.6,2.4
1314,4726139476,4,3,5,1,6,2,3,3,5,6,-0.006419999999999981,1.4,2.4
20,4726141670,2,4,1,5,3,3,1,4,5,4,-0.003700000000000003,3.0,2.0
422,4726198056,4,4,5,5,6,3,4,4,5,4,0.0016599999999999948,2.8,1.8
2116,4726200204,3,3,4,5,6,3,3,5,5,,0.11050000000000001,2.6,2.2
2013,4726448721,2,3,1,5,2,3,1,5,4,5,0.028359999999999996,1.6,2.0
938,4726472657,3,2,1,5,5,3,5,4,5,6,0.022140000000000003,1.8,2.2
2088,4726478424,1,3,1,5,4,3,3,4,5,6,0.0067400000000000125,2.4,2.4
1511,4726505574,3,1,1,5,6,3,2,4,5,6,0.020599999999999997,3.0,2.4
1039,4726512149,3,3,4,5,6,6,5,4,5,2,0.004660000000000009,2.0,1.8
354,4726559283,4,1,5,5,6,4,3,6,5,6,0.00132000000000001,2.4,1.6
1208,4726587493,3,3,2,5,4,3,2,4,5,3,-0.006700000000000017,2.8,2.4
808,4726656197,3,3,4,5,6,6,5,4,5,4,0.002000000000000013,1.8,1.8
2070,4726668084,3,4,3,5,6,3,3,1,5,2,-0.002740000000000009,3.2,2.8
743,4726719820,3,1,1,5,4,3,2,1,5,3,-0.005719999999999992,3.0,2.8
375,4726722185,3,3,4,5,2,2,3,4,5,3,-0.0049200000000000355,2.4,2.2
1229,4726722705,5,3,1,5,6,2,3,5,5,6,-0.018059999999999986,2.0,2.4
1232,4726724185,3,2,4,5,6,3,3,4,5,6,0.002039999999999975,3.2,2.0
123,4726731669,4,1,1,5,2,2,5,4,5,2,-0.00046000000000001595,3.0,2.8
582,4726733162,3,3,4,5,6,3,3,1,5,6,0.014140000000000008,2.8,2.2
1519,4726733517,5,3,2,5,6,1,6,,5,2,0.12568000000000001,2.4,2.0
2137,4726739819,3,4,3,5,4,2,3,1,3,6,0.00528000000000004,2.8,3.4
2069,4726780054,2,3,1,5,2,3,5,2,5,3,-0.0024000000000000466,1.6,1.4
816,4726796776,2,5,,5,6,3,3,4,5,3,-0.08146,0.6,3.0
997,4726799953,3,3,2,5,5,2,3,2,5,6,0.010099999999999987,2.8,3.2
897,4726810492,2,1,2,5,6,4,2,1,5,4,-0.002180000000000004,3.0,2.8
1231,4726830553,3,4,1,5,2,3,2,6,5,2,-0.007979999999999998,2.8,1.6
742,4726871222,3,2,1,5,3,3,3,4,5,4,-0.008139999999999991,2.0,3.0
1421,4726977140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
2087,4727228288,3,3,3,5,6,3,3,6,5,6,0.002639999999999998,3.2,2.2
1387,4727250284,3,5,4,5,2,3,3,5,5,6,0.021419999999999984,2.0,3.2
1386,4727292328,3,4,3,5,4,2,1,1,5,6,-0.008519999999999995,2.8,3.4
1240,4727317140,3,1,5,5,2,1,3,4,5,6,-0.0044800000000000065,2.4,2.6
2086,4727328482,3,3,1,5,5,3,3,4,5,4,0.01978000000000001,1.4,2.8
1924,4727363470,3,3,4,5,2,3,3,6,5,2,-0.0032999999999999917,2.6,2.0
2085,4727364075,3,3,4,5,2,3,1,4,5,6,0.03311999999999998,1.6,1.8
586,4727379392,2,1,1,5,2,3,3,,5,2,0.09966000000000001,2.6,1.2
92,4727384386,5,4,4,5,6,3,3,4,5,5,0.016159999999999997,2.8,2.0
1676,4727386894,1,3,3,5,4,3,2,2,5,6,0.0007600000000000162,3.0,4.6
2084,4727453976,3,1,1,5,6,3,3,4,5,6,-0.0008400000000000074,2.8,3.0
1701,4727462366,3,3,1,5,6,3,1,4,5,6,-0.007260000000000011,2.8,3.2
25,4727478037,3,4,4,5,6,3,5,4,5,3,-0.009300000000000008,2.6,1.8
359,4727537315,2,4,3,5,3,3,5,4,5,2,0.00019999999999995577,2.8,2.4
2083,4727547539,5,3,3,5,2,2,3,4,5,6,-0.008420000000000006,2.8,2.2
106,4727580489,1,1,2,5,6,3,3,4,5,2,0.018279999999999984,2.6,3.8
581,4727583492,2,5,3,5,6,3,1,4,5,4,0.013839999999999953,1.6,3.0
490,4727600712,1,2,4,5,3,3,1,2,5,2,-0.014660000000000017,2.0,2.0
148,4727611194,2,3,4,5,3,3,1,2,5,6,-0.005880000000000029,1.2,3.8
147,4727637770,3,3,1,5,2,3,3,1,5,6,-0.002420000000000011,1.6,2.0
489,4727637806,3,4,6,5,2,3,1,1,5,4,0.041339999999999974,2.6,3.6
1423,4727708696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0
